CD_CVM,TICKER,DATE,VALUE,TYPE
906,BBDC4,2024-12-02,0.018975,JCP
906,BBDC4,2024-11-01,0.018975,JCP
906,BBDC4,2024-10-01,0.018975,JCP
906,BBDC4,2024-09-30,0.197528,JCP
906,BBDC4,2024-09-02,0.018975,JCP
906,BBDC4,2024-08-01,0.018975,JCP
906,BBDC4,2024-07-01,0.018975,JCP
906,BBDC4,2024-06-17,0.395055,JCP
906,BBDC4,2024-06-03,0.018975,JCP
906,BBDC4,2024-05-02,0.018975,JCP
906,BBDC4,2024-04-01,0.018975,JCP
906,BBDC4,2024-03-01,0.018975,JCP
906,BBDC4,2024-02-01,0.018975,JCP
906,BBDC4,2024-01-02,0.018975,JCP
906,BBDC4,2023-12-21,0.196897,JCP
906,BBDC4,2023-12-21,0.492046,JCP
906,BBDC4,2023-12-01,0.018974,JCP
906,BBDC4,2023-11-01,0.018974,JCP
906,BBDC4,2023-10-02,0.018974,JCP
906,BBDC4,2023-09-01,0.018974,JCP
906,BBDC4,2023-08-01,0.018974,JCP
906,BBDC4,2023-07-03,0.018974,JCP
906,BBDC4,2023-06-26,0.196897,JCP
906,BBDC4,2023-06-01,0.018974,JCP
906,BBDC4,2023-05-02,0.018974,JCP
906,BBDC4,2023-04-03,0.018974,JCP
906,BBDC4,2023-03-01,0.018974,JCP
906,BBDC4,2023-02-01,0.018974,JCP
906,BBDC4,2023-01-06,0.583405,JCP
906,BBDC4,2023-01-02,0.018974,JCP
906,BBDC4,2022-12-01,0.018974,JCP
906,BBDC4,2022-11-01,0.018974,JCP
906,BBDC4,2022-10-03,0.018974,JCP
906,BBDC4,2022-09-01,0.018974,JCP
906,BBDC4,2022-08-01,0.018974,JCP
906,BBDC4,2022-07-01,0.018974,JCP
906,BBDC4,2022-06-20,0.196595,JCP
906,BBDC4,2022-06-01,0.018974,JCP
906,BBDC4,2022-05-02,0.018974,JCP
906,BBDC4,2022-04-01,0.018974,JCP
906,BBDC4,2022-03-02,0.018974,JCP
906,BBDC4,2022-02-01,0.018974,JCP
906,BBDC4,2022-01-03,0.018974,JCP
906,BBDC4,2021-12-20,0.216254,Dividendo
906,BBDC4,2021-12-20,0.021625,JCP
906,BBDC4,2021-12-01,0.018974,JCP
906,BBDC4,2021-11-01,0.018974,JCP
906,BBDC4,2021-10-01,0.018974,JCP
906,BBDC4,2021-09-01,0.018974,JCP
906,BBDC4,2021-08-02,0.018974,JCP
906,BBDC4,2021-07-02,0.539008,JCP
906,BBDC4,2021-07-01,0.018974,JCP
906,BBDC4,2021-06-01,0.018974,JCP
906,BBDC4,2021-05-03,0.018974,JCP
906,BBDC4,2021-04-01,0.018974,JCP
906,BBDC4,2021-03-01,0.018974,JCP
906,BBDC4,2021-02-18,0.021821,JCP
906,BBDC4,2021-02-01,0.018974,JCP
906,BBDC4,2021-01-04,0.018974,JCP
906,BBDC4,2020-12-28,0.415273,JCP
906,BBDC4,2020-12-01,0.018975,JCP
906,BBDC4,2020-11-03,0.018975,JCP
906,BBDC4,2020-10-01,0.018975,JCP
906,BBDC4,2020-09-01,0.018975,JCP
906,BBDC4,2020-08-03,0.018975,JCP
906,BBDC4,2020-07-01,0.018975,JCP
906,BBDC4,2020-06-01,0.018975,JCP
906,BBDC4,2020-05-04,0.018975,JCP
906,BBDC4,2020-04-01,0.018975,JCP
906,BBDC4,2020-03-02,0.018975,JCP
906,BBDC4,2020-02-17,0.064035,Dividendo
906,BBDC4,2020-02-03,0.018975,JCP
906,BBDC4,2020-01-02,0.018975,JCP
906,BBDC4,2019-12-19,0.553717,JCP
906,BBDC4,2019-12-02,0.018974,JCP
906,BBDC4,2019-11-01,0.018974,JCP
906,BBDC4,2019-10-17,1.043519,Dividendo
906,BBDC4,2019-10-01,0.018974,JCP
906,BBDC4,2019-09-02,0.018974,JCP
906,BBDC4,2019-08-01,0.018974,JCP
906,BBDC4,2019-07-01,0.018974,JCP
906,BBDC4,2019-06-28,0.18979,JCP
906,BBDC4,2019-06-03,0.018974,JCP
906,BBDC4,2019-05-02,0.018974,JCP
906,BBDC4,2019-04-01,0.018974,JCP
906,BBDC4,2019-03-01,0.018974,JCP
906,BBDC4,2019-02-01,0.018974,JCP
906,BBDC4,2019-01-02,0.018974,JCP
906,BBDC4,2018-12-21,0.730202,JCP
906,BBDC4,2018-09-03,0.018974,JCP
906,BBDC4,2018-08-01,0.018974,JCP
906,BBDC4,2018-07-02,0.018974,JCP
906,BBDC4,2018-06-29,0.189711,JCP
906,BBDC4,2018-06-01,0.018974,JCP
906,BBDC4,2018-05-02,0.018974,JCP
906,BBDC4,2018-04-02,0.018974,JCP
906,BBDC4,2018-03-01,0.018974,JCP
906,BBDC4,2018-02-01,0.018974,JCP
906,BBDC4,2018-01-02,0.018974,JCP
906,BBDC4,2017-12-22,0.829911,JCP
906,BBDC4,2017-12-01,0.018974,JCP
906,BBDC4,2017-11-01,0.018974,JCP
906,BBDC4,2017-10-02,0.018974,JCP
906,BBDC4,2017-09-01,0.018974,JCP
906,BBDC4,2017-08-01,0.018974,JCP
906,BBDC4,2017-07-03,0.018974,JCP
906,BBDC4,2017-06-30,0.189743,JCP
906,BBDC4,2017-06-01,0.018974,JCP
906,BBDC4,2017-05-02,0.018974,JCP
906,BBDC4,2017-04-03,0.018974,JCP
906,BBDC4,2017-03-01,0.018974,JCP
906,BBDC4,2017-02-01,0.018974,JCP
906,BBDC4,2017-01-02,0.018974,JCP
906,BBDC4,2016-12-21,0.2824,JCP
906,BBDC4,2016-12-01,0.018974,JCP
906,BBDC4,2016-11-01,0.019,JCP
906,BBDC4,2016-10-03,0.019,JCP
906,BBDC4,2016-09-30,0.325052,JCP
906,BBDC4,2016-09-01,0.019,JCP
906,BBDC4,2016-08-01,0.019,JCP
906,BBDC4,2016-07-01,0.019,JCP
906,BBDC4,2016-06-22,0.1898,JCP
906,BBDC4,2016-06-01,0.019,JCP
906,BBDC4,2016-05-02,0.019,JCP
906,BBDC4,2016-04-01,0.019,JCP
906,BBDC4,2016-03-01,0.019,JCP
906,BBDC4,2016-02-01,0.019,JCP
906,BBDC4,2016-01-04,0.019,JCP
906,BBDC4,2015-12-16,0.8445,JCP
906,BBDC4,2015-12-01,0.019,JCP
906,BBDC4,2015-11-03,0.019,JCP
906,BBDC4,2015-10-01,0.019,JCP
906,BBDC4,2015-09-01,0.019,JCP
906,BBDC4,2015-08-03,0.019,JCP
906,BBDC4,2015-07-01,0.019,JCP
906,BBDC4,2015-06-22,0.1899,Dividendo
906,BBDC4,2015-06-01,0.019,JCP
906,BBDC4,2015-05-04,0.019,JCP
906,BBDC4,2015-04-01,0.019,JCP
906,BBDC4,2015-03-02,0.0207,JCP
906,BBDC4,2015-02-09,0.1575,Dividendo
906,BBDC4,2015-02-02,0.0207,JCP
906,BBDC4,2015-01-02,0.0207,JCP
906,BBDC4,2014-12-22,0.6494,JCP
906,BBDC4,2014-12-01,0.0207,JCP
906,BBDC4,2014-11-03,0.0207,JCP
906,BBDC4,2014-10-01,0.0207,JCP
906,BBDC4,2014-09-01,0.0207,JCP
906,BBDC4,2014-08-01,0.0207,JCP
906,BBDC4,2014-07-01,0.0207,JCP
906,BBDC4,2014-06-24,0.207,Dividendo
906,BBDC4,2014-06-02,0.0207,JCP
906,BBDC4,2014-05-02,0.0207,JCP
906,BBDC4,2014-03-05,0.0207,JCP
906,BBDC4,2014-02-10,0.2132,Dividendo
906,BBDC4,2014-02-03,0.0207,JCP
906,BBDC4,2014-01-02,0.0207,JCP
906,BBDC4,2013-12-23,0.3548,JCP
906,BBDC4,2013-12-02,0.0207,JCP
906,BBDC4,2013-11-01,0.0207,JCP
906,BBDC4,2013-10-01,0.0207,JCP
906,BBDC4,2013-09-02,0.0207,JCP
906,BBDC4,2013-08-01,0.0207,JCP
906,BBDC4,2013-07-01,0.0207,JCP
906,BBDC4,2013-06-27,0.2071,JCP
906,BBDC4,2013-06-03,0.0207,JCP
906,BBDC4,2013-05-02,0.0207,JCP
906,BBDC4,2013-04-01,0.0207,JCP
906,BBDC4,2013-03-01,0.0207,JCP
906,BBDC4,2013-02-05,0.0731,Dividendo
906,BBDC4,2013-02-01,0.0207,JCP
906,BBDC4,2013-01-02,0.0207,JCP
906,BBDC4,2012-12-21,0.5638,JCP
906,BBDC4,2012-11-01,0.0207,JCP
906,BBDC4,2012-10-01,0.0207,JCP
906,BBDC4,2012-09-03,0.0207,JCP
906,BBDC4,2012-08-01,0.0207,JCP
906,BBDC4,2012-07-02,0.0207,JCP
906,BBDC4,2012-06-27,0.207,JCP
906,BBDC4,2012-06-01,0.0176,Dividendo
906,BBDC4,2012-05-02,0.0176,Dividendo
906,BBDC4,2012-04-02,0.0176,Dividendo
906,BBDC4,2012-03-01,0.016,Dividendo
906,BBDC4,2012-02-10,0.0415,Dividendo
906,BBDC4,2012-02-01,0.016,Dividendo
906,BBDC4,2012-01-02,0.016,Dividendo
906,BBDC4,2011-12-12,0.6338,JCP
906,BBDC4,2011-12-01,0.016,Dividendo
906,BBDC4,2011-11-01,0.016,Dividendo
906,BBDC4,2011-10-03,0.016,Dividendo
906,BBDC4,2011-09-01,0.016,Dividendo
906,BBDC4,2011-08-01,0.0145,Dividendo
906,BBDC4,2011-07-01,0.0145,Dividendo
906,BBDC4,2011-06-27,0.1711,JCP
906,BBDC4,2011-06-01,0.0145,Dividendo
906,BBDC4,2011-05-02,0.0145,Dividendo
906,BBDC4,2011-04-01,0.0145,Dividendo
906,BBDC4,2011-03-01,0.0145,Dividendo
906,BBDC4,2011-02-11,0.0877,Dividendo
906,BBDC4,2011-02-01,0.0145,Dividendo
906,BBDC4,2011-01-03,0.0145,Dividendo
906,BBDC4,2010-12-06,0.5307,JCP
906,BBDC4,2010-12-01,0.0145,Dividendo
906,BBDC4,2010-11-01,0.0145,Dividendo
906,BBDC4,2010-10-01,0.0145,Dividendo
906,BBDC4,2010-09-01,0.0145,Dividendo
906,BBDC4,2010-08-02,0.0145,Dividendo
906,BBDC4,2010-07-01,0.0145,Dividendo
906,BBDC4,2010-06-28,0.1711,JCP
906,BBDC4,2010-06-01,0.0145,Dividendo
906,BBDC4,2010-05-03,0.0145,Dividendo
906,BBDC4,2010-04-01,0.0145,Dividendo
906,BBDC4,2010-03-01,0.0145,Dividendo
906,BBDC4,2010-02-10,0.0236,Dividendo
906,BBDC4,2010-02-01,0.0145,Dividendo
906,BBDC4,2010-01-04,0.0145,Dividendo
906,BBDC4,2009-12-04,0.5497,JCP
906,BBDC4,2009-12-01,0.0145,Dividendo
906,BBDC4,2009-11-03,0.0145,Dividendo
906,BBDC4,2009-10-01,0.0145,Dividendo
906,BBDC4,2009-09-01,0.0145,Dividendo
906,BBDC4,2009-08-03,0.0145,Dividendo
906,BBDC4,2009-07-03,0.1711,JCP
906,BBDC4,2009-07-01,0.0145,Dividendo
906,BBDC4,2009-06-01,0.0145,Dividendo
906,BBDC4,2009-05-04,0.0145,Dividendo
906,BBDC4,2009-04-01,0.0145,Dividendo
906,BBDC4,2009-03-02,0.0145,Dividendo
906,BBDC4,2009-02-02,0.0145,Dividendo
906,BBDC4,2009-01-02,0.0132,Dividendo
906,BBDC4,2008-12-05,0.6286,JCP
906,BBDC4,2008-12-01,0.0132,Dividendo
906,BBDC4,2008-11-03,0.0132,Dividendo
906,BBDC4,2008-10-01,0.0132,Dividendo
906,BBDC4,2008-09-01,0.0132,Dividendo
