CD_CVM,DT_INI_EXERC,DT_FIM_EXERC,DS_CONTA,VL_CONTA,EXERC_YEAR,VL_CONTA_ROLLING_YEAR
906,2022-01-01,2022-03-31,Lucro ou Prejuízo,7268755000.0,2022,
1023,2022-01-01,2022-03-31,Lucro ou Prejuízo,4974664000.0,2022,
906,2022-04-01,2022-06-30,Lucro ou Prejuízo,7209326000.0,2022,
1023,2022-04-01,2022-06-30,Lucro ou Prejuízo,8721176000.0,2022,
906,2022-07-01,2022-09-30,Lucro ou Prejuízo,5909702000.0,2022,
1023,2022-07-01,2022-09-30,Lucro ou Prejuízo,8083574000.0,2022,
906,2022-10-01,2022-12-31,Lucro ou Prejuízo,829413000.0,2022,21217196000.0
1023,2022-10-01,2022-12-31,Lucro ou Prejuízo,8069921000.0,2022,29849335000.0
906,2023-01-01,2023-03-31,Lucro ou Prejuízo,5473810000.0,2023,19422251000.0
1023,2023-01-01,2023-03-31,Lucro ou Prejuízo,7290982000.0,2023,32165653000.0
906,2023-04-01,2023-06-30,Lucro ou Prejuízo,4071265000.0,2023,16284190000.0
1023,2023-04-01,2023-06-30,Lucro ou Prejuízo,9092514000.0,2023,32536991000.0
906,2023-07-01,2023-09-30,Lucro ou Prejuízo,3471044000.0,2023,13845532000.0
1023,2023-07-01,2023-09-30,Lucro ou Prejuízo,8841647000.0,2023,33295064000.0
906,2023-10-01,2023-12-31,Lucro ou Prejuízo,1486646000.0,2023,14502765000.0
1023,2023-10-01,2023-12-31,Lucro ou Prejuízo,7940448000.0,2023,33165591000.0
906,2024-01-01,2024-03-31,Lucro ou Prejuízo,4202768000.0,2024,13231723000.0
1023,2024-01-01,2024-03-31,Lucro ou Prejuízo,8680714000.0,2024,34555323000.0
906,2024-04-01,2024-06-30,Lucro ou Prejuízo,4185407000.0,2024,13345865000.0
1023,2024-04-01,2024-06-30,Lucro ou Prejuízo,9485229000.0,2024,34948038000.0
